name,family,category,size,seed,paradigm,solver,status,proved_optimal,objective,runtime_s,memory_peak_mb,best_at_10s,best_at_30s,best_at_60s,timeout_s
B_jobshop_5_0,jobshop,B,5,0,omt,z3,OPTIMAL,True,33,0.0334,0.0,33,33,33,30.0
B_jobshop_5_0,jobshop,B,5,0,omt,optimathsat,OPTIMAL,True,33,0.1197,7.48,33,33,33,30.0
B_jobshop_5_0,jobshop,B,5,0,milp,cbc-bigm,OPTIMAL,True,33,0.5489,84.82,33,33,33,30.0
B_jobshop_5_0,jobshop,B,5,0,milp,highs-bigm,OPTIMAL,True,33,1.0095,61.77,33,33,33,30.0
B_jobshop_5_0,jobshop,B,5,0,milp,scip-bigm,OPTIMAL,True,33,0.0801,0.0,33,33,33,30.0
B_jobshop_5_0,jobshop,B,5,0,milp,gurobi-bigm,OPTIMAL,True,33,0.1157,51.75,33,33,33,30.0
B_jobshop_5_0,jobshop,B,5,0,milp,cplex-bigm,OPTIMAL,True,33,0.0864,54.52,33,33,33,30.0
B_jobshop_5_0,jobshop,B,5,0,milp,highs-hull,OPTIMAL,True,33,0.8862,64.22,33,33,33,30.0
B_jobshop_5_0,jobshop,B,5,0,milp,gurobi-ind,OPTIMAL,True,33,0.0068,0.0,33,33,33,30.0
B_jobshop_5_0,jobshop,B,5,0,milp,cplex-ind,OPTIMAL,True,33,0.0173,0.0,33,33,33,30.0
B_jobshop_5_0,jobshop,B,5,0,cp,gecode,OPTIMAL,True,33,0.1164,14.94,33,33,33,30.0
B_jobshop_5_0,jobshop,B,5,0,cp,cpsat,OPTIMAL,True,33,0.0925,91.58,33,33,33,30.0
B_jobshop_6_0,jobshop,B,6,0,omt,z3,OPTIMAL,True,42,0.0663,34.96,42,42,42,30.0
B_jobshop_6_0,jobshop,B,6,0,omt,optimathsat,OPTIMAL,True,42,0.1209,7.74,42,42,42,30.0
B_jobshop_6_0,jobshop,B,6,0,milp,cbc-bigm,OPTIMAL,True,42,1.7164,103.73,42,42,42,30.0
B_jobshop_6_0,jobshop,B,6,0,milp,highs-bigm,OPTIMAL,True,42,0.9314,64.19,42,42,42,30.0
B_jobshop_6_0,jobshop,B,6,0,milp,scip-bigm,OPTIMAL,True,42,0.0215,0.0,42,42,42,30.0
B_jobshop_6_0,jobshop,B,6,0,milp,gurobi-bigm,OPTIMAL,True,42,0.0519,0.0,42,42,42,30.0
B_jobshop_6_0,jobshop,B,6,0,milp,cplex-bigm,OPTIMAL,True,42,0.0507,0.0,42,42,42,30.0
B_jobshop_6_0,jobshop,B,6,0,milp,highs-hull,OPTIMAL,True,42,2.4189,68.71,42,42,42,30.0
B_jobshop_6_0,jobshop,B,6,0,milp,gurobi-ind,OPTIMAL,True,42,0.0246,0.0,42,42,42,30.0
B_jobshop_6_0,jobshop,B,6,0,milp,cplex-ind,OPTIMAL,True,42,0.0923,87.18,42,42,42,30.0
B_jobshop_6_0,jobshop,B,6,0,cp,gecode,OPTIMAL,True,42,0.1189,14.88,42,42,42,30.0
B_jobshop_6_0,jobshop,B,6,0,cp,cpsat,OPTIMAL,True,42,0.0032,0.0,42,42,42,30.0
B_jobshop_7_0,jobshop,B,7,0,omt,z3,OPTIMAL,True,45,0.1772,35.59,45,45,45,30.0
B_jobshop_7_0,jobshop,B,7,0,omt,optimathsat,OPTIMAL,True,45,0.118,7.64,45,45,45,30.0
B_jobshop_7_0,jobshop,B,7,0,milp,cbc-bigm,OPTIMAL,True,45,9.5788,110.33,45,45,45,30.0
B_jobshop_7_0,jobshop,B,7,0,milp,highs-bigm,OPTIMAL,True,45,1.6129,67.29,45,45,45,30.0
B_jobshop_7_0,jobshop,B,7,0,milp,scip-bigm,OPTIMAL,True,45,0.6313,0.0,45,45,45,30.0
B_jobshop_7_0,jobshop,B,7,0,milp,gurobi-bigm,OPTIMAL,True,45,0.0971,55.79,45,45,45,30.0
B_jobshop_7_0,jobshop,B,7,0,milp,cplex-bigm,OPTIMAL,True,45,0.295,58.55,45,45,45,30.0
B_jobshop_7_0,jobshop,B,7,0,milp,highs-hull,OPTIMAL,True,45,12.0336,81.71,,45,45,30.0
B_jobshop_7_0,jobshop,B,7,0,milp,gurobi-ind,OPTIMAL,True,45,0.0452,0.0,45,45,45,30.0
B_jobshop_7_0,jobshop,B,7,0,milp,cplex-ind,OPTIMAL,True,45,0.3966,88.96,45,45,45,30.0
B_jobshop_7_0,jobshop,B,7,0,cp,gecode,OPTIMAL,True,45,0.1695,16.29,45,45,45,30.0
B_jobshop_7_0,jobshop,B,7,0,cp,cpsat,OPTIMAL,True,45,0.0034,0.0,45,45,45,30.0
B_jobshop_8_0,jobshop,B,8,0,omt,z3,OPTIMAL,True,54,0.7919,35.59,54,54,54,30.0
B_jobshop_8_0,jobshop,B,8,0,omt,optimathsat,OPTIMAL,True,54,0.6751,10.82,54,54,54,30.0
B_jobshop_8_0,jobshop,B,8,0,milp,cbc-bigm,OPTIMAL,True,54,10.3522,116.25,,54,54,30.0
