name,family,category,size,seed,paradigm,solver,status,proved_optimal,objective,runtime_s,memory_peak_mb,best_at_10s,best_at_30s,best_at_60s,timeout_s
B_jobshop_5_0,jobshop,B,5,0,omt,z3,OPTIMAL,True,33,0.0656,0.0,33,33,33,30.0
B_jobshop_5_0,jobshop,B,5,0,omt,optimathsat,OPTIMAL,True,33,0.1191,7.14,33,33,33,30.0
B_jobshop_5_0,jobshop,B,5,0,milp,cbc-bigm,OPTIMAL,True,33,0.4903,86.71,33,33,33,30.0
B_jobshop_5_0,jobshop,B,5,0,milp,highs-bigm,OPTIMAL,True,33,0.7221,63.19,33,33,33,30.0
B_jobshop_5_0,jobshop,B,5,0,milp,scip-bigm,OPTIMAL,True,33,0.0476,0.0,33,33,33,30.0
B_jobshop_5_0,jobshop,B,5,0,milp,gurobi-bigm,OPTIMAL,True,33,0.1161,52.75,33,33,33,30.0
B_jobshop_5_0,jobshop,B,5,0,milp,cplex-bigm,OPTIMAL,True,33,0.0848,55.61,33,33,33,30.0
B_jobshop_5_0,jobshop,B,5,0,milp,highs-hull,OPTIMAL,True,33,0.765,65.25,33,33,33,30.0
B_jobshop_5_0,jobshop,B,5,0,milp,gurobi-ind,OPTIMAL,True,33,0.0072,0.0,33,33,33,30.0
B_jobshop_5_0,jobshop,B,5,0,milp,cplex-ind,OPTIMAL,True,33,0.0191,0.0,33,33,33,30.0
B_jobshop_5_0,jobshop,B,5,0,cp,gecode,OPTIMAL,True,33,0.1166,14.95,33,33,33,30.0
B_jobshop_5_0,jobshop,B,5,0,cp,cpsat,OPTIMAL,True,33,0.0861,90.91,33,33,33,30.0
B_jobshop_6_0,jobshop,B,6,0,omt,z3,OPTIMAL,True,42,0.0672,35.9,42,42,42,30.0
B_jobshop_6_0,jobshop,B,6,0,omt,optimathsat,OPTIMAL,True,42,0.1252,7.52,42,42,42,30.0
B_jobshop_6_0,jobshop,B,6,0,milp,cbc-bigm,OPTIMAL,True,42,1.5763,103.68,42,42,42,30.0
B_jobshop_6_0,jobshop,B,6,0,milp,highs-bigm,OPTIMAL,True,42,0.8214,65.24,42,42,42,30.0
