name,family,category,size,seed,paradigm,solver,status,proved_optimal,objective,runtime_s,memory_peak_mb,best_at_10s,best_at_30s,best_at_60s,timeout_s
B_jobshop_7_0,jobshop,B,7,0,omt,z3,OPTIMAL,True,45,0.1186,35.95,45,45,45,600.0
B_jobshop_7_0,jobshop,B,7,0,omt,optimathsat,OPTIMAL,True,45,0.1211,8.09,45,45,45,600.0
B_jobshop_7_0,jobshop,B,7,0,milp,cbc-bigm,OPTIMAL,True,45,7.2993,109.9,45,45,45,600.0
B_jobshop_7_0,jobshop,B,7,0,milp,highs-bigm,OPTIMAL,True,45,1.3741,68.24,45,45,45,600.0
B_jobshop_7_0,jobshop,B,7,0,milp,scip-bigm,OPTIMAL,True,45,0.5177,0.0,45,45,45,600.0
B_jobshop_7_0,jobshop,B,7,0,milp,gurobi-bigm,OPTIMAL,True,45,0.1028,57.0,45,45,45,600.0
B_jobshop_7_0,jobshop,B,7,0,milp,cplex-bigm,OPTIMAL,True,45,0.2511,60.7,45,45,45,600.0
B_jobshop_7_0,jobshop,B,7,0,milp,highs-hull,OPTIMAL,True,45,10.4991,83.27,,45,45,600.0
B_jobshop_7_0,jobshop,B,7,0,milp,gurobi-ind,OPTIMAL,True,45,0.0466,0.0,45,45,45,600.0
B_jobshop_7_0,jobshop,B,7,0,milp,cplex-ind,OPTIMAL,True,45,0.3348,88.84,45,45,45,600.0
B_jobshop_7_0,jobshop,B,7,0,cp,gecode,OPTIMAL,True,45,0.1164,15.28,45,45,45,600.0
B_jobshop_7_0,jobshop,B,7,0,cp,cpsat,OPTIMAL,True,45,0.0034,0.0,45,45,45,600.0
B_jobshop_7_1,jobshop,B,7,1,omt,z3,OPTIMAL,True,40,0.1224,36.06,40,40,40,600.0
B_jobshop_7_1,jobshop,B,7,1,omt,optimathsat,OPTIMAL,True,40,0.1174,8.14,40,40,40,600.0
B_jobshop_7_1,jobshop,B,7,1,milp,cbc-bigm,OPTIMAL,True,40,2.4985,112.82,40,40,40,600.0
B_jobshop_7_1,jobshop,B,7,1,milp,highs-bigm,OPTIMAL,True,40,1.9071,70.55,40,40,40,600.0
B_jobshop_7_1,jobshop,B,7,1,milp,scip-bigm,OPTIMAL,True,40,0.5377,0.0,40,40,40,600.0
B_jobshop_7_1,jobshop,B,7,1,milp,gurobi-bigm,OPTIMAL,True,40,0.0416,0.0,40,40,40,600.0
B_jobshop_7_1,jobshop,B,7,1,milp,cplex-bigm,OPTIMAL,True,40,0.1997,60.42,40,40,40,600.0
B_jobshop_7_1,jobshop,B,7,1,milp,highs-hull,OPTIMAL,True,40,11.3122,84.45,,40,40,600.0
B_jobshop_7_1,jobshop,B,7,1,milp,gurobi-ind,OPTIMAL,True,40,0.0091,0.0,40,40,40,600.0
B_jobshop_7_1,jobshop,B,7,1,milp,cplex-ind,OPTIMAL,True,40,0.2166,87.45,40,40,40,600.0
B_jobshop_7_1,jobshop,B,7,1,cp,gecode,OPTIMAL,True,40,0.1208,14.79,40,40,40,600.0
B_jobshop_7_1,jobshop,B,7,1,cp,cpsat,OPTIMAL,True,40,0.0045,0.0,40,40,40,600.0
B_jobshop_7_2,jobshop,B,7,2,omt,z3,OPTIMAL,True,40,0.1764,35.52,40,40,40,600.0
B_jobshop_7_2,jobshop,B,7,2,omt,optimathsat,OPTIMAL,True,40,0.2301,8.85,40,40,40,600.0
B_jobshop_7_2,jobshop,B,7,2,milp,cbc-bigm,OPTIMAL,True,40,2.1793,104.72,40,40,40,600.0
B_jobshop_7_2,jobshop,B,7,2,milp,highs-bigm,OPTIMAL,True,40,1.0502,66.58,40,40,40,600.0
B_jobshop_7_2,jobshop,B,7,2,milp,scip-bigm,OPTIMAL,True,40,0.2181,0.0,40,40,40,600.0
B_jobshop_7_2,jobshop,B,7,2,milp,gurobi-bigm,OPTIMAL,True,40,0.1018,57.12,40,40,40,600.0
B_jobshop_7_2,jobshop,B,7,2,milp,cplex-bigm,OPTIMAL,True,40,0.1574,60.18,40,40,40,600.0
B_jobshop_7_2,jobshop,B,7,2,milp,highs-hull,ERROR,False,,14.009,0.0,,,,600.0
B_jobshop_7_2,jobshop,B,7,2,milp,gurobi-ind,OPTIMAL,True,40,0.0563,35.05,40,40,40,600.0
B_jobshop_7_2,jobshop,B,7,2,milp,cplex-ind,OPTIMAL,True,40,0.2069,87.85,40,40,40,600.0
B_jobshop_7_2,jobshop,B,7,2,cp,gecode,OPTIMAL,True,40,0.1225,15.0,40,40,40,600.0
B_jobshop_7_2,jobshop,B,7,2,cp,cpsat,OPTIMAL,True,40,0.0045,0.0,40,40,40,600.0
B_jobshop_8_0,jobshop,B,8,0,omt,z3,OPTIMAL,True,54,0.6834,35.71,54,54,54,600.0
B_jobshop_8_0,jobshop,B,8,0,omt,optimathsat,OPTIMAL,True,54,0.5996,11.09,54,54,54,600.0
B_jobshop_8_0,jobshop,B,8,0,milp,cbc-bigm,OPTIMAL,True,54,7.5642,116.04,54,54,54,600.0
B_jobshop_8_0,jobshop,B,8,0,milp,highs-bigm,OPTIMAL,True,54,7.5039,73.47,54,54,54,600.0
B_jobshop_8_0,jobshop,B,8,0,milp,scip-bigm,OPTIMAL,True,54,8.0747,0.0,54,54,54,600.0
B_jobshop_8_0,jobshop,B,8,0,milp,gurobi-bigm,OPTIMAL,True,54,0.1947,58.68,54,54,54,600.0
B_jobshop_8_0,jobshop,B,8,0,milp,cplex-bigm,OPTIMAL,True,54,0.7763,61.45,54,54,54,600.0
B_jobshop_8_0,jobshop,B,8,0,milp,highs-hull,OPTIMAL,True,54,89.1983,149.78,,,,600.0
B_jobshop_8_0,jobshop,B,8,0,milp,gurobi-ind,OPTIMAL,True,54,0.0853,35.46,54,54,54,600.0
B_jobshop_8_0,jobshop,B,8,0,milp,cplex-ind,OPTIMAL,True,54,4.0176,88.95,54,54,54,600.0
B_jobshop_8_0,jobshop,B,8,0,cp,gecode,OPTIMAL,True,54,0.7464,35.11,54,54,54,600.0
B_jobshop_8_0,jobshop,B,8,0,cp,cpsat,OPTIMAL,True,54,0.0034,0.0,54,54,54,600.0
B_jobshop_8_1,jobshop,B,8,1,omt,z3,OPTIMAL,True,46,0.4387,36.5,46,46,46,600.0
B_jobshop_8_1,jobshop,B,8,1,omt,optimathsat,OPTIMAL,True,46,0.3309,9.85,46,46,46,600.0
B_jobshop_8_1,jobshop,B,8,1,milp,cbc-bigm,OPTIMAL,True,46,45.8392,117.54,,,46,600.0
B_jobshop_8_1,jobshop,B,8,1,milp,highs-bigm,OPTIMAL,True,46,4.4497,74.05,46,46,46,600.0
B_jobshop_8_1,jobshop,B,8,1,milp,scip-bigm,OPTIMAL,True,46,5.2323,0.0,46,46,46,600.0
B_jobshop_8_1,jobshop,B,8,1,milp,gurobi-bigm,OPTIMAL,True,46,0.1163,57.79,46,46,46,600.0
B_jobshop_8_1,jobshop,B,8,1,milp,cplex-bigm,OPTIMAL,True,46,0.6263,62.42,46,46,46,600.0
B_jobshop_8_1,jobshop,B,8,1,milp,highs-hull,OPTIMAL,True,46,45.0789,108.09,,,46,600.0
B_jobshop_8_1,jobshop,B,8,1,milp,gurobi-ind,OPTIMAL,True,46,0.0776,35.04,46,46,46,600.0
B_jobshop_8_1,jobshop,B,8,1,milp,cplex-ind,OPTIMAL,True,46,1.2696,88.23,46,46,46,600.0
B_jobshop_8_1,jobshop,B,8,1,cp,gecode,OPTIMAL,True,46,0.1729,34.93,46,46,46,600.0
B_jobshop_8_1,jobshop,B,8,1,cp,cpsat,OPTIMAL,True,46,0.0049,0.0,46,46,46,600.0
B_jobshop_8_2,jobshop,B,8,2,omt,z3,OPTIMAL,True,46,0.3256,36.0,46,46,46,600.0
B_jobshop_8_2,jobshop,B,8,2,omt,optimathsat,OPTIMAL,True,46,0.38,9.57,46,46,46,600.0
B_jobshop_8_2,jobshop,B,8,2,milp,cbc-bigm,OPTIMAL,True,46,3.5342,107.3,46,46,46,600.0
B_jobshop_8_2,jobshop,B,8,2,milp,highs-bigm,OPTIMAL,True,46,1.9506,71.13,46,46,46,600.0
