name,family,category,size,seed,paradigm,solver,status,proved_optimal,objective,runtime_s,memory_peak_mb,best_at_10s,best_at_30s,best_at_60s,timeout_s
A_gap_40_0,gap,A,40,0,omt,z3,OPTIMAL,True,87,0.1192,39.49,87,87,87,600.0
A_gap_40_0,gap,A,40,0,omt,optimathsat,OPTIMAL,True,87,0.3697,30.8,87,87,87,600.0
A_gap_40_0,gap,A,40,0,milp,cbc,OPTIMAL,True,87,0.1046,58.46,87,87,87,600.0
A_gap_40_0,gap,A,40,0,milp,highs,OPTIMAL,True,87,0.0666,0.0,87,87,87,600.0
A_gap_40_0,gap,A,40,0,milp,scip,OPTIMAL,True,87,0.1796,0.0,87,87,87,600.0
A_gap_40_0,gap,A,40,0,milp,gurobi-ind,OPTIMAL,True,87,0.0589,0.0,87,87,87,600.0
A_gap_40_0,gap,A,40,0,milp,cplex-ind,OPTIMAL,True,87,0.0746,84.85,87,87,87,600.0
A_gap_40_0,gap,A,40,0,cp,gecode,SAT,False,284,600.0,42.31,315,298,298,600.0
A_gap_40_0,gap,A,40,0,cp,cpsat,OPTIMAL,True,87,0.1564,92.3,87,87,87,600.0
A_gap_40_1,gap,A,40,1,omt,z3,OPTIMAL,True,89,0.5811,40.93,89,89,89,600.0
A_gap_40_1,gap,A,40,1,omt,optimathsat,OPTIMAL,True,89,0.4815,28.12,89,89,89,600.0
A_gap_40_1,gap,A,40,1,milp,cbc,OPTIMAL,True,89,0.0839,61.31,89,89,89,600.0
A_gap_40_1,gap,A,40,1,milp,highs,OPTIMAL,True,89,0.0265,0.0,89,89,89,600.0
A_gap_40_1,gap,A,40,1,milp,scip,OPTIMAL,True,89,0.0189,0.0,89,89,89,600.0
A_gap_40_1,gap,A,40,1,milp,gurobi-ind,OPTIMAL,True,89,0.0084,0.0,89,89,89,600.0
A_gap_40_1,gap,A,40,1,milp,cplex-ind,OPTIMAL,True,89,0.0234,0.0,89,89,89,600.0
A_gap_40_1,gap,A,40,1,cp,gecode,SAT,False,206,600.0,42.16,309,285,279,600.0
A_gap_40_1,gap,A,40,1,cp,cpsat,OPTIMAL,True,89,0.0351,0.0,89,89,89,600.0
A_gap_40_2,gap,A,40,2,omt,z3,OPTIMAL,True,108,0.5877,41.06,108,108,108,600.0
A_gap_40_2,gap,A,40,2,omt,optimathsat,OPTIMAL,True,108,0.9404,29.33,108,108,108,600.0
A_gap_40_2,gap,A,40,2,milp,cbc,OPTIMAL,True,108,0.1115,61.21,108,108,108,600.0
A_gap_40_2,gap,A,40,2,milp,highs,OPTIMAL,True,108,0.0234,0.0,108,108,108,600.0
