name,family,category,size,seed,paradigm,solver,status,proved_optimal,objective,runtime_s,memory_peak_mb,best_at_10s,best_at_30s,best_at_60s,timeout_s
A_gap_80_0,gap,A,80,0,omt,z3,OPTIMAL,True,120,9.1477,72.21,120,120,120,30.0
A_gap_80_0,gap,A,80,0,omt,optimathsat,TIMEOUT,False,,30.0149,62.88,,,,30.0
A_gap_80_0,gap,A,80,0,milp,cbc,OPTIMAL,True,120,0.2121,113.64,120,120,120,30.0
A_gap_80_0,gap,A,80,0,milp,highs,OPTIMAL,True,120,0.1514,102.5,120,120,120,30.0
A_gap_80_0,gap,A,80,0,milp,scip,OPTIMAL,True,120,0.1906,127.7,120,120,120,30.0
A_gap_80_0,gap,A,80,0,cp,gecode,SAT,False,607,30.0,76.01,607,607,607,30.0
A_gap_80_0,gap,A,80,0,cp,cpsat,OPTIMAL,True,120,0.1444,130.32,120,120,120,30.0
A_gap_160_0,gap,A,160,0,omt,z3,OPTIMAL,True,183,16.7822,478.89,,183,183,30.0
A_gap_160_0,gap,A,160,0,omt,optimathsat,TIMEOUT,False,,30.0223,165.59,,,,30.0
A_gap_160_0,gap,A,160,0,milp,cbc,OPTIMAL,True,183,0.53,172.21,183,183,183,30.0
A_gap_160_0,gap,A,160,0,milp,highs,OPTIMAL,True,183,0.5361,150.86,183,183,183,30.0
A_gap_160_0,gap,A,160,0,milp,scip,OPTIMAL,True,183,0.3409,153.25,183,183,183,30.0
A_gap_160_0,gap,A,160,0,cp,gecode,SAT,False,1548,30.0,488.98,1550,1548,1548,30.0
A_gap_160_0,gap,A,160,0,cp,cpsat,OPTIMAL,True,183,1.6805,194.04,183,183,183,30.0
A_gap_320_0,gap,A,320,0,omt,z3,TIMEOUT,False,,30.261,3608.18,,,,30.0
A_gap_320_0,gap,A,320,0,omt,optimathsat,TIMEOUT,False,,30.0114,85.49,,,,30.0
A_gap_320_0,gap,A,320,0,milp,cbc,OPTIMAL,True,327,0.772,318.26,327,327,327,30.0
A_gap_320_0,gap,A,320,0,milp,highs,OPTIMAL,True,327,2.1222,234.62,327,327,327,30.0
A_gap_320_0,gap,A,320,0,milp,scip,OPTIMAL,True,327,1.1791,219.97,327,327,327,30.0
A_gap_320_0,gap,A,320,0,cp,gecode,SAT,False,3208,30.0,6794.88,,3209,3208,30.0
A_gap_320_0,gap,A,320,0,cp,cpsat,OPTIMAL,True,327,1.0936,333.06,327,327,327,30.0
A_knapsack_80_0,knapsack,A,80,0,omt,z3,OPTIMAL,True,672,0.3151,36.12,672,672,672,30.0
A_knapsack_80_0,knapsack,A,80,0,omt,optimathsat,OPTIMAL,True,672,0.1669,19.59,672,672,672,30.0
A_knapsack_80_0,knapsack,A,80,0,milp,cbc,OPTIMAL,True,672,0.0777,340.89,672,672,672,30.0
A_knapsack_80_0,knapsack,A,80,0,milp,highs,OPTIMAL,True,672,0.029,333.06,672,672,672,30.0
A_knapsack_80_0,knapsack,A,80,0,milp,scip,OPTIMAL,True,672,0.008,0.0,672,672,672,30.0
A_knapsack_80_0,knapsack,A,80,0,cp,gecode,SAT,False,565,30.0,35.22,555,565,565,30.0
A_knapsack_80_0,knapsack,A,80,0,cp,cpsat,OPTIMAL,True,672,0.0138,333.09,672,672,672,30.0
A_knapsack_160_0,knapsack,A,160,0,omt,z3,OPTIMAL,True,1297,1.6198,37.43,1297,1297,1297,30.0
