name,family,category,size,seed,paradigm,solver,status,proved_optimal,objective,runtime_s,memory_peak_mb,best_at_10s,best_at_30s,best_at_60s,timeout_s
A_gap_5_0,gap,A,5,0,omt,z3,OPTIMAL,True,56,0.035,0.0,56,56,56,20.0
A_gap_5_0,gap,A,5,0,omt,optimathsat,OPTIMAL,True,56,0.1194,6.53,56,56,56,20.0
A_gap_5_0,gap,A,5,0,milp,cbc,OPTIMAL,True,56,0.0824,101.37,56,56,56,20.0
A_gap_5_0,gap,A,5,0,milp,highs,OPTIMAL,True,56,0.0245,95.41,56,56,56,20.0
A_gap_5_0,gap,A,5,0,milp,scip,OPTIMAL,True,56,0.1045,107.07,56,56,56,20.0
A_gap_5_0,gap,A,5,0,cp,gecode,OPTIMAL,True,56,0.1163,14.86,56,56,56,20.0
A_gap_5_0,gap,A,5,0,cp,cpsat,OPTIMAL,True,56,0.0741,112.09,56,56,56,20.0
A_gap_10_0,gap,A,10,0,omt,z3,OPTIMAL,True,87,0.0335,1.57,87,87,87,20.0
A_gap_10_0,gap,A,10,0,omt,optimathsat,OPTIMAL,True,87,0.1183,6.52,87,87,87,20.0
A_gap_10_0,gap,A,10,0,milp,cbc,OPTIMAL,True,87,0.0818,120.11,87,87,87,20.0
A_gap_10_0,gap,A,10,0,milp,highs,OPTIMAL,True,87,0.0114,113.16,87,87,87,20.0
A_gap_10_0,gap,A,10,0,milp,scip,OPTIMAL,True,87,0.0155,0.0,87,87,87,20.0
A_gap_10_0,gap,A,10,0,cp,gecode,OPTIMAL,True,87,0.1159,14.85,87,87,87,20.0
A_gap_10_0,gap,A,10,0,cp,cpsat,OPTIMAL,True,87,0.0161,114.88,87,87,87,20.0
A_knapsack_5_0,knapsack,A,5,0,omt,z3,OPTIMAL,True,31,0.0328,1.39,31,31,31,20.0
A_knapsack_5_0,knapsack,A,5,0,omt,optimathsat,OPTIMAL,True,31,0.1193,6.56,31,31,31,20.0
A_knapsack_5_0,knapsack,A,5,0,milp,cbc,OPTIMAL,True,31,0.0914,122.71,31,31,31,20.0
A_knapsack_5_0,knapsack,A,5,0,milp,highs,OPTIMAL,True,31,0.0062,115.99,31,31,31,20.0
A_knapsack_5_0,knapsack,A,5,0,milp,scip,OPTIMAL,True,31,0.0054,0.0,31,31,31,20.0
A_knapsack_5_0,knapsack,A,5,0,cp,gecode,OPTIMAL,True,31,0.1155,15.01,31,31,31,20.0
A_knapsack_5_0,knapsack,A,5,0,cp,cpsat,OPTIMAL,True,31,0.0013,116.24,31,31,31,20.0
A_knapsack_10_0,knapsack,A,10,0,omt,z3,OPTIMAL,True,85,0.0332,1.31,85,85,85,20.0
