name,family,category,size,seed,paradigm,solver,status,proved_optimal,objective,runtime_s,memory_peak_mb,best_at_10s,best_at_30s,best_at_60s,timeout_s
A_gap_80_0,gap,A,80,0,omt,z3,OPTIMAL,True,120,7.4801,72.52,120,120,120,30.0
A_gap_80_0,gap,A,80,0,omt,optimathsat,TIMEOUT,False,,30.0093,62.89,,,,30.0
A_gap_80_0,gap,A,80,0,milp,cbc,OPTIMAL,True,120,0.1704,69.3,120,120,120,30.0
A_gap_80_0,gap,A,80,0,milp,highs,OPTIMAL,True,120,0.1303,58.67,120,120,120,30.0
A_gap_80_0,gap,A,80,0,milp,scip,OPTIMAL,True,120,0.17,0.0,120,120,120,30.0
A_gap_80_0,gap,A,80,0,milp,gurobi-ind,OPTIMAL,True,120,0.0644,34.2,120,120,120,30.0
A_gap_80_0,gap,A,80,0,milp,cplex-ind,ERROR,False,,0.004,0.0,,,,30.0
A_gap_80_0,gap,A,80,0,cp,gecode,SAT,False,607,30.0,75.91,607,607,607,30.0
A_gap_80_0,gap,A,80,0,cp,cpsat,OPTIMAL,True,120,0.1409,96.53,120,120,120,30.0
A_gap_160_0,gap,A,160,0,omt,z3,OPTIMAL,True,183,16.7246,480.04,,183,183,30.0
A_gap_160_0,gap,A,160,0,omt,optimathsat,TIMEOUT,False,,30.0203,165.45,,,,30.0
A_gap_160_0,gap,A,160,0,milp,cbc,OPTIMAL,True,183,0.5218,94.49,183,183,183,30.0
A_gap_160_0,gap,A,160,0,milp,highs,OPTIMAL,True,183,0.5045,85.97,183,183,183,30.0
A_gap_160_0,gap,A,160,0,milp,scip,OPTIMAL,True,183,0.3149,0.0,183,183,183,30.0
A_gap_160_0,gap,A,160,0,milp,gurobi-ind,ERROR,False,,0.0015,0.0,,,,30.0
A_gap_160_0,gap,A,160,0,milp,cplex-ind,ERROR,False,,0.0025,0.0,,,,30.0
A_gap_160_0,gap,A,160,0,cp,gecode,SAT,False,1548,30.0,488.96,1550,1548,1548,30.0
A_gap_160_0,gap,A,160,0,cp,cpsat,OPTIMAL,True,183,1.6237,132.27,183,183,183,30.0
A_gap_320_0,gap,A,320,0,omt,z3,TIMEOUT,False,,30.2133,3608.91,,,,30.0
A_gap_320_0,gap,A,320,0,omt,optimathsat,TIMEOUT,False,,30.0168,85.49,,,,30.0
A_gap_320_0,gap,A,320,0,milp,cbc,OPTIMAL,True,327,0.6577,191.17,327,327,327,30.0
A_gap_320_0,gap,A,320,0,milp,highs,OPTIMAL,True,327,1.939,162.07,327,327,327,30.0
A_gap_320_0,gap,A,320,0,milp,scip,OPTIMAL,True,327,1.1032,0.0,327,327,327,30.0
A_gap_320_0,gap,A,320,0,milp,gurobi-ind,ERROR,False,,0.0043,0.0,,,,30.0
A_gap_320_0,gap,A,320,0,milp,cplex-ind,ERROR,False,,0.0039,0.0,,,,30.0
A_gap_320_0,gap,A,320,0,cp,gecode,ERROR,False,,23.6894,4022.44,,,,30.0
A_gap_320_0,gap,A,320,0,cp,cpsat,OPTIMAL,True,327,1.3222,164.37,327,327,327,30.0
B_config_100_0,config,B,100,0,omt,z3,OPTIMAL,True,427,4.3673,37.29,427,427,427,30.0
B_config_100_0,config,B,100,0,omt,optimathsat,OPTIMAL,True,427,0.9069,22.69,427,427,427,30.0
B_config_100_0,config,B,100,0,milp,cbc,OPTIMAL,True,427,0.1064,59.94,427,427,427,30.0
B_config_100_0,config,B,100,0,milp,highs,OPTIMAL,True,427,0.025,0.0,427,427,427,30.0
B_config_100_0,config,B,100,0,milp,scip,OPTIMAL,True,427,0.0209,0.0,427,427,427,30.0
B_config_100_0,config,B,100,0,milp,gurobi-ind,OPTIMAL,True,427,0.008,0.0,427,427,427,30.0
B_config_100_0,config,B,100,0,milp,cplex-ind,OPTIMAL,True,427,0.0598,86.28,427,427,427,30.0
B_config_100_0,config,B,100,0,cp,gecode,SAT,False,596,30.0,34.96,702,596,596,30.0
B_config_100_0,config,B,100,0,cp,cpsat,OPTIMAL,True,427,0.0471,0.0,427,427,427,30.0
B_config_200_0,config,B,200,0,omt,z3,TIMEOUT,False,,30.0076,40.58,,,,30.0
B_config_200_0,config,B,200,0,omt,optimathsat,OPTIMAL,True,873,7.9702,33.2,873,873,873,30.0
B_config_200_0,config,B,200,0,milp,cbc,OPTIMAL,True,873,0.0957,60.25,873,873,873,30.0
B_config_200_0,config,B,200,0,milp,highs,OPTIMAL,True,873,0.0236,0.0,873,873,873,30.0
B_config_200_0,config,B,200,0,milp,scip,OPTIMAL,True,873,0.0223,0.0,873,873,873,30.0
B_config_200_0,config,B,200,0,milp,gurobi-ind,OPTIMAL,True,873,0.0024,0.0,873,873,873,30.0
B_config_200_0,config,B,200,0,milp,cplex-ind,OPTIMAL,True,873,0.0061,0.0,873,873,873,30.0
B_config_200_0,config,B,200,0,cp,gecode,SAT,False,1935,30.0,35.57,1935,1935,1935,30.0
B_config_200_0,config,B,200,0,cp,cpsat,OPTIMAL,True,873,0.6571,95.79,873,873,873,30.0
B_config_400_0,config,B,400,0,omt,z3,TIMEOUT,False,,30.0067,51.61,,,,30.0
B_config_400_0,config,B,400,0,omt,optimathsat,TIMEOUT,False,,30.009,48.17,,,,30.0
B_config_400_0,config,B,400,0,milp,cbc,OPTIMAL,True,1722,0.1238,60.73,1722,1722,1722,30.0
B_config_400_0,config,B,400,0,milp,highs,OPTIMAL,True,1722,0.1535,63.34,1722,1722,1722,30.0
B_config_400_0,config,B,400,0,milp,scip,OPTIMAL,True,1722,0.1084,0.0,1722,1722,1722,30.0
B_config_400_0,config,B,400,0,milp,gurobi-ind,OPTIMAL,True,1722,0.0063,0.0,1722,1722,1722,30.0
B_config_400_0,config,B,400,0,milp,cplex-ind,OPTIMAL,True,1722,0.0168,0.0,1722,1722,1722,30.0
