name,family,category,size,seed,paradigm,solver,status,proved_optimal,objective,runtime_s,memory_peak_mb,best_at_10s,best_at_30s,best_at_60s,timeout_s
A_gap_640_0,gap,A,640,0,omt,z3,ERROR,False,,16.0621,3605.62,,,,30.0
A_gap_640_0,gap,A,640,0,omt,optimathsat,TIMEOUT,False,,30.0241,287.44,,,,30.0
A_gap_640_0,gap,A,640,0,milp,cbc,OPTIMAL,True,640,2.7687,541.22,640,640,640,30.0
A_gap_640_0,gap,A,640,0,milp,highs,OPTIMAL,True,640,7.3044,415.61,640,640,640,30.0
A_gap_640_0,gap,A,640,0,milp,scip,OPTIMAL,True,640,5.2787,253.94,640,640,640,30.0
A_gap_640_0,gap,A,640,0,milp,gurobi-ind,ERROR,False,,0.0203,0.0,,,,30.0
A_gap_640_0,gap,A,640,0,milp,cplex-ind,ERROR,False,,0.0136,0.0,,,,30.0
A_gap_640_0,gap,A,640,0,cp,gecode,ERROR,False,,29.5807,4244.75,,,,30.0
A_gap_640_0,gap,A,640,0,cp,cpsat,OPTIMAL,True,640,6.6005,349.52,640,640,640,30.0
B_config_800_0,config,B,800,0,omt,z3,TIMEOUT,False,,30.0088,58.93,,,,30.0
B_config_800_0,config,B,800,0,omt,optimathsat,TIMEOUT,False,,30.011,59.33,,,,30.0
B_config_800_0,config,B,800,0,milp,cbc,OPTIMAL,True,3282,0.1461,67.45,3282,3282,3282,30.0
B_config_800_0,config,B,800,0,milp,highs,OPTIMAL,True,3282,0.1124,56.07,3282,3282,3282,30.0
B_config_800_0,config,B,800,0,milp,scip,OPTIMAL,True,3282,0.1539,0.0,3282,3282,3282,30.0
B_config_800_0,config,B,800,0,milp,gurobi-ind,OPTIMAL,True,3282,0.0754,31.51,3282,3282,3282,30.0
B_config_800_0,config,B,800,0,milp,cplex-ind,OPTIMAL,True,3282,0.1043,83.6,3282,3282,3282,30.0
B_config_800_0,config,B,800,0,cp,gecode,SAT,False,9712,30.0,48.16,9772,9712,9712,30.0
B_config_800_0,config,B,800,0,cp,cpsat,SAT,False,3934,30.0012,118.39,3959,3934,3934,30.0
A_knapsack_1280_0,knapsack,A,1280,0,omt,z3,TIMEOUT,False,,30.0072,55.74,,,,30.0
A_knapsack_1280_0,knapsack,A,1280,0,omt,optimathsat,OPTIMAL,True,10135,3.4258,54.15,10135,10135,10135,30.0
A_knapsack_1280_0,knapsack,A,1280,0,milp,cbc,OPTIMAL,True,10135,0.1005,61.43,10135,10135,10135,30.0
A_knapsack_1280_0,knapsack,A,1280,0,milp,highs,OPTIMAL,True,10135,0.1901,58.2,10135,10135,10135,30.0
A_knapsack_1280_0,knapsack,A,1280,0,milp,scip,OPTIMAL,True,10135,0.1323,0.0,10135,10135,10135,30.0
A_knapsack_1280_0,knapsack,A,1280,0,milp,gurobi-ind,OPTIMAL,True,10135,0.0099,0.0,10135,10135,10135,30.0
A_knapsack_1280_0,knapsack,A,1280,0,milp,cplex-ind,ERROR,False,,0.0017,0.0,,,,30.0
A_knapsack_1280_0,knapsack,A,1280,0,cp,gecode,SAT,False,6475,30.0,95.61,6454,6475,6475,30.0
A_knapsack_1280_0,knapsack,A,1280,0,cp,cpsat,OPTIMAL,True,10135,3.7598,210.5,10135,10135,10135,30.0
A_knapsack_2560_0,knapsack,A,2560,0,omt,z3,TIMEOUT,False,,30.0123,100.94,,,,30.0
A_knapsack_2560_0,knapsack,A,2560,0,omt,optimathsat,OPTIMAL,True,20382,13.2317,100.12,,20382,20382,30.0
A_knapsack_2560_0,knapsack,A,2560,0,milp,cbc,OPTIMAL,True,20382,0.12,75.89,20382,20382,20382,30.0
A_knapsack_2560_0,knapsack,A,2560,0,milp,highs,OPTIMAL,True,20382,0.2281,60.38,20382,20382,20382,30.0
A_knapsack_2560_0,knapsack,A,2560,0,milp,scip,OPTIMAL,True,20382,0.4396,0.0,20382,20382,20382,30.0
A_knapsack_2560_0,knapsack,A,2560,0,milp,gurobi-ind,ERROR,False,,0.0004,0.0,,,,30.0
A_knapsack_2560_0,knapsack,A,2560,0,milp,cplex-ind,ERROR,False,,0.0019,0.0,,,,30.0
A_knapsack_2560_0,knapsack,A,2560,0,cp,gecode,SAT,False,13098,30.0,258.55,6341,13096,13098,30.0
A_knapsack_2560_0,knapsack,A,2560,0,cp,cpsat,OPTIMAL,True,20382,6.9938,311.25,20382,20382,20382,30.0
