name,family,category,size,seed,paradigm,solver,status,proved_optimal,objective,runtime_s,memory_peak_mb,best_at_10s,best_at_30s,best_at_60s,timeout_s
A_gap_80_0,gap,A,80,0,milp,cplex-ind,OPTIMAL,True,120,0.12,86.11,120,120,120,30.0
A_gap_160_0,gap,A,160,0,milp,cplex-ind,OPTIMAL,True,183,0.119,95.61,183,183,183,30.0
A_gap_320_0,gap,A,320,0,milp,cplex-ind,OPTIMAL,True,327,0.3002,133.41,327,327,327,30.0
A_gap_640_0,gap,A,640,0,milp,cplex-ind,OPTIMAL,True,640,1.1934,285.51,640,640,640,30.0
B_config_100_0,config,B,100,0,milp,cplex-ind,OPTIMAL,True,427,0.016,0.0,427,427,427,30.0
B_config_200_0,config,B,200,0,milp,cplex-ind,OPTIMAL,True,873,0.015,0.0,873,873,873,30.0
B_config_400_0,config,B,400,0,milp,cplex-ind,OPTIMAL,True,1722,0.0216,0.0,1722,1722,1722,30.0
B_config_800_0,config,B,800,0,milp,cplex-ind,OPTIMAL,True,3282,0.0177,0.0,3282,3282,3282,30.0
A_knapsack_320_0,knapsack,A,320,0,milp,cplex-ind,OPTIMAL,True,2533,0.0116,0.0,2533,2533,2533,30.0
A_knapsack_640_0,knapsack,A,640,0,milp,cplex-ind,OPTIMAL,True,5078,0.0198,0.0,5078,5078,5078,30.0
A_knapsack_1280_0,knapsack,A,1280,0,milp,cplex-ind,OPTIMAL,True,10135,0.0184,0.0,10135,10135,10135,30.0
A_knapsack_2560_0,knapsack,A,2560,0,milp,cplex-ind,OPTIMAL,True,20381,0.0297,0.0,20381,20381,20381,30.0
