name,family,category,size,seed,paradigm,solver,status,proved_optimal,objective,runtime_s,memory_peak_mb,best_at_10s,best_at_30s,best_at_60s,timeout_s
B_setcover_48_0,setcover,B,48,0,omt,z3,OPTIMAL,True,47,0.0681,0.0,47,47,47,30.0
B_setcover_48_0,setcover,B,48,0,omt,optimathsat,OPTIMAL,True,47,0.1195,7.98,47,47,47,30.0
B_setcover_48_0,setcover,B,48,0,milp,cbc,OPTIMAL,True,47,0.0968,58.03,47,47,47,30.0
B_setcover_48_0,setcover,B,48,0,milp,highs,OPTIMAL,True,47,0.0497,0.0,47,47,47,30.0
B_setcover_48_0,setcover,B,48,0,milp,scip,OPTIMAL,True,47,0.1725,0.0,47,47,47,30.0
B_setcover_48_0,setcover,B,48,0,milp,gurobi-ind,OPTIMAL,True,47,0.0565,0.0,47,47,47,30.0
B_setcover_48_0,setcover,B,48,0,milp,cplex-ind,OPTIMAL,True,47,0.0407,0.0,47,47,47,30.0
B_setcover_48_0,setcover,B,48,0,cp,gecode,OPTIMAL,True,47,0.1729,17.66,47,47,47,30.0
B_setcover_48_0,setcover,B,48,0,cp,cpsat,OPTIMAL,True,47,0.186,90.36,47,47,47,30.0
B_setcover_96_0,setcover,B,96,0,omt,z3,OPTIMAL,True,56,0.0337,0.0,56,56,56,30.0
B_setcover_96_0,setcover,B,96,0,omt,optimathsat,OPTIMAL,True,56,0.2196,17.5,56,56,56,30.0
B_setcover_96_0,setcover,B,96,0,milp,cbc,OPTIMAL,True,56,0.1042,61.32,56,56,56,30.0
B_setcover_96_0,setcover,B,96,0,milp,highs,OPTIMAL,True,56,0.0089,0.0,56,56,56,30.0
B_setcover_96_0,setcover,B,96,0,milp,scip,OPTIMAL,True,56,0.0096,0.0,56,56,56,30.0
B_setcover_96_0,setcover,B,96,0,milp,gurobi-ind,OPTIMAL,True,56,0.0022,0.0,56,56,56,30.0
B_setcover_96_0,setcover,B,96,0,milp,cplex-ind,OPTIMAL,True,56,0.0059,0.0,56,56,56,30.0
B_setcover_96_0,setcover,B,96,0,cp,gecode,OPTIMAL,True,56,0.1162,14.95,56,56,56,30.0
B_setcover_96_0,setcover,B,96,0,cp,cpsat,OPTIMAL,True,56,0.0107,0.0,56,56,56,30.0
B_setcover_192_0,setcover,B,192,0,omt,z3,TIMEOUT,False,,30.0055,42.32,,,,30.0
B_setcover_192_0,setcover,B,192,0,omt,optimathsat,TIMEOUT,False,,30.0112,31.68,,,,30.0
B_setcover_192_0,setcover,B,192,0,milp,cbc,OPTIMAL,True,40,0.1777,69.8,40,40,40,30.0
B_setcover_192_0,setcover,B,192,0,milp,highs,OPTIMAL,True,40,0.3412,82.48,40,40,40,30.0
B_setcover_192_0,setcover,B,192,0,milp,scip,OPTIMAL,True,40,0.6319,0.0,40,40,40,30.0
B_setcover_192_0,setcover,B,192,0,milp,gurobi-ind,OPTIMAL,True,40,0.0672,35.14,40,40,40,30.0
B_setcover_192_0,setcover,B,192,0,milp,cplex-ind,OPTIMAL,True,40,0.0798,86.59,40,40,40,30.0
B_setcover_192_0,setcover,B,192,0,cp,gecode,SAT,False,89,30.0,40.69,90,89,89,30.0
B_setcover_192_0,setcover,B,192,0,cp,cpsat,OPTIMAL,True,40,0.3283,95.7,40,40,40,30.0
B_setcover_384_0,setcover,B,384,0,omt,z3,TIMEOUT,False,,30.0061,52.19,,,,30.0
B_setcover_384_0,setcover,B,384,0,omt,optimathsat,TIMEOUT,False,,30.0086,58.32,,,,30.0
B_setcover_384_0,setcover,B,384,0,milp,cbc,OPTIMAL,True,22,0.5452,75.0,22,22,22,30.0
B_setcover_384_0,setcover,B,384,0,milp,highs,OPTIMAL,True,22,1.1209,145.64,22,22,22,30.0
B_setcover_384_0,setcover,B,384,0,milp,scip,OPTIMAL,True,22,0.5526,0.0,22,22,22,30.0
B_setcover_384_0,setcover,B,384,0,milp,gurobi-ind,OPTIMAL,True,22,0.1503,38.72,22,22,22,30.0
B_setcover_384_0,setcover,B,384,0,milp,cplex-ind,OPTIMAL,True,22,0.102,90.12,22,22,22,30.0
B_setcover_384_0,setcover,B,384,0,cp,gecode,SAT,False,278,30.0,46.15,295,278,278,30.0
B_setcover_384_0,setcover,B,384,0,cp,cpsat,OPTIMAL,True,22,1.3541,100.1,22,22,22,30.0
