name,family,category,size,seed,paradigm,solver,status,proved_optimal,objective,runtime_s,memory_peak_mb,best_at_10s,best_at_30s,best_at_60s,timeout_s
A_gap_5_0,gap,A,5,0,omt,z3,OPTIMAL,True,56,0.034,0.0,56,56,56,30.0
A_gap_5_0,gap,A,5,0,omt,optimathsat,OPTIMAL,True,56,0.1213,7.43,56,56,56,30.0
A_gap_5_0,gap,A,5,0,milp,cbc,OPTIMAL,True,56,0.147,59.37,56,56,56,30.0
A_gap_5_0,gap,A,5,0,milp,highs,OPTIMAL,True,56,0.0386,0.0,56,56,56,30.0
A_gap_5_0,gap,A,5,0,milp,scip,OPTIMAL,True,56,0.1501,0.0,56,56,56,30.0
A_gap_5_0,gap,A,5,0,milp,gurobi-ind,OPTIMAL,True,56,0.0264,0.0,56,56,56,30.0
A_gap_5_0,gap,A,5,0,milp,cplex-ind,OPTIMAL,True,56,0.0467,0.0,56,56,56,30.0
A_gap_5_0,gap,A,5,0,cp,gecode,OPTIMAL,True,56,0.2194,25.29,56,56,56,30.0
A_gap_5_0,gap,A,5,0,cp,cpsat,OPTIMAL,True,56,0.1228,91.64,56,56,56,30.0
A_gap_5_1,gap,A,5,1,omt,z3,OPTIMAL,True,34,0.0352,0.0,34,34,34,30.0
A_gap_5_1,gap,A,5,1,omt,optimathsat,OPTIMAL,True,34,0.1728,7.79,34,34,34,30.0
A_gap_5_1,gap,A,5,1,milp,cbc,OPTIMAL,True,34,0.1266,60.17,34,34,34,30.0
A_gap_5_1,gap,A,5,1,milp,highs,OPTIMAL,True,34,0.0034,0.0,34,34,34,30.0
A_gap_5_1,gap,A,5,1,milp,scip,OPTIMAL,True,34,0.0123,0.0,34,34,34,30.0
A_gap_5_1,gap,A,5,1,milp,gurobi-ind,OPTIMAL,True,34,0.0022,0.0,34,34,34,30.0
A_gap_5_1,gap,A,5,1,milp,cplex-ind,OPTIMAL,True,34,0.0042,0.0,34,34,34,30.0
A_gap_5_1,gap,A,5,1,cp,gecode,OPTIMAL,True,34,0.1684,16.31,34,34,34,30.0
A_gap_5_1,gap,A,5,1,cp,cpsat,OPTIMAL,True,34,0.003,0.0,34,34,34,30.0
A_gap_5_2,gap,A,5,2,omt,z3,OPTIMAL,True,31,0.0682,0.0,31,31,31,30.0
A_gap_5_2,gap,A,5,2,omt,optimathsat,OPTIMAL,True,31,0.1806,8.41,31,31,31,30.0
A_gap_5_2,gap,A,5,2,milp,cbc,OPTIMAL,True,31,0.1514,60.46,31,31,31,30.0
A_gap_5_2,gap,A,5,2,milp,highs,OPTIMAL,True,31,0.002,0.0,31,31,31,30.0
A_gap_5_2,gap,A,5,2,milp,scip,OPTIMAL,True,31,0.0136,0.0,31,31,31,30.0
A_gap_5_2,gap,A,5,2,milp,gurobi-ind,OPTIMAL,True,31,0.0015,0.0,31,31,31,30.0
A_gap_5_2,gap,A,5,2,milp,cplex-ind,OPTIMAL,True,31,0.006,0.0,31,31,31,30.0
A_gap_5_2,gap,A,5,2,cp,gecode,OPTIMAL,True,31,0.2292,16.05,31,31,31,30.0
A_gap_5_2,gap,A,5,2,cp,cpsat,OPTIMAL,True,31,0.0064,0.0,31,31,31,30.0
A_gap_10_0,gap,A,10,0,omt,z3,OPTIMAL,True,87,0.0678,0.0,87,87,87,30.0
A_gap_10_0,gap,A,10,0,omt,optimathsat,OPTIMAL,True,87,0.2257,8.61,87,87,87,30.0
A_gap_10_0,gap,A,10,0,milp,cbc,OPTIMAL,True,87,0.1761,59.87,87,87,87,30.0
A_gap_10_0,gap,A,10,0,milp,highs,OPTIMAL,True,87,0.0386,0.0,87,87,87,30.0
A_gap_10_0,gap,A,10,0,milp,scip,OPTIMAL,True,87,0.0287,0.0,87,87,87,30.0
A_gap_10_0,gap,A,10,0,milp,gurobi-ind,OPTIMAL,True,87,0.2836,0.0,87,87,87,30.0
A_gap_10_0,gap,A,10,0,milp,cplex-ind,OPTIMAL,True,87,0.0542,0.0,87,87,87,30.0
A_gap_10_0,gap,A,10,0,cp,gecode,OPTIMAL,True,87,0.224,29.68,87,87,87,30.0
A_gap_10_0,gap,A,10,0,cp,cpsat,OPTIMAL,True,87,0.0391,0.0,87,87,87,30.0
A_gap_10_1,gap,A,10,1,omt,z3,OPTIMAL,True,69,0.1191,0.0,69,69,69,30.0
A_gap_10_1,gap,A,10,1,omt,optimathsat,OPTIMAL,True,69,0.1772,7.52,69,69,69,30.0
A_gap_10_1,gap,A,10,1,milp,cbc,OPTIMAL,True,69,0.1836,59.95,69,69,69,30.0
A_gap_10_1,gap,A,10,1,milp,highs,OPTIMAL,True,69,0.0242,0.0,69,69,69,30.0
A_gap_10_1,gap,A,10,1,milp,scip,OPTIMAL,True,69,0.0362,0.0,69,69,69,30.0
A_gap_10_1,gap,A,10,1,milp,gurobi-ind,OPTIMAL,True,69,0.0037,0.0,69,69,69,30.0
A_gap_10_1,gap,A,10,1,milp,cplex-ind,OPTIMAL,True,69,0.0071,0.0,69,69,69,30.0
A_gap_10_1,gap,A,10,1,cp,gecode,OPTIMAL,True,69,0.173,16.32,69,69,69,30.0
A_gap_10_1,gap,A,10,1,cp,cpsat,OPTIMAL,True,69,0.0064,0.0,69,69,69,30.0
A_gap_10_2,gap,A,10,2,omt,z3,OPTIMAL,True,80,0.0678,0.0,80,80,80,30.0
A_gap_10_2,gap,A,10,2,omt,optimathsat,OPTIMAL,True,80,0.2322,7.42,80,80,80,30.0
A_gap_10_2,gap,A,10,2,milp,cbc,OPTIMAL,True,80,0.2984,60.0,80,80,80,30.0
A_gap_10_2,gap,A,10,2,milp,highs,OPTIMAL,True,80,0.009,0.0,80,80,80,30.0
A_gap_10_2,gap,A,10,2,milp,scip,OPTIMAL,True,80,0.0076,0.0,80,80,80,30.0
A_gap_10_2,gap,A,10,2,milp,gurobi-ind,OPTIMAL,True,80,0.0026,0.0,80,80,80,30.0
A_gap_10_2,gap,A,10,2,milp,cplex-ind,OPTIMAL,True,80,0.0092,0.0,80,80,80,30.0
A_gap_10_2,gap,A,10,2,cp,gecode,OPTIMAL,True,80,0.272,16.28,80,80,80,30.0
A_gap_10_2,gap,A,10,2,cp,cpsat,OPTIMAL,True,80,0.0073,0.0,80,80,80,30.0
A_gap_20_0,gap,A,20,0,omt,z3,OPTIMAL,True,93,1.9951,37.54,93,93,93,30.0
A_gap_20_0,gap,A,20,0,omt,optimathsat,OPTIMAL,True,93,0.3756,17.14,93,93,93,30.0
A_gap_20_0,gap,A,20,0,milp,cbc,OPTIMAL,True,93,0.1743,60.06,93,93,93,30.0
